CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81250482,-25.4865966553425,-49.3378683447999,4,14:20:00,36,81452040,-25.4998370213564,-49.3545044201704,NÃO,14:24:00
81452040,-25.4998370213564,-49.3545044201704,4,14:25:00,30,82840140,-25.4035558681452,-49.2092009936114,SIM,15:01:00
82840140,-25.4035558681452,-49.2092009936114,4,15:02:00,36,81910160,-25.530759191602,-49.2694617027723,NÃO,15:27:00
81910160,-25.530759191602,-49.2694617027723,4,15:28:00,30,80530210,-25.415928,-49.266714,SIM,15:54:00
80530210,-25.415928,-49.266714,4,15:55:00,31,80820350,-25.4104868271504,-49.2948596739003,NÃO,16:01:00
80820350,-25.4104868271504,-49.2948596739003,4,16:02:00,32,80215542,-25.4467561755521,-49.2503976846901,NÃO,16:13:00
80215542,-25.4467561755521,-49.2503976846901,4,16:14:00,30,80250220,-25.4401651682037,-49.2778677639266,NÃO,16:20:00
80250220,-25.4401651682037,-49.2778677639266,4,16:21:00,36,81110070,-25.5038132404982,-49.2938690633352,SIM,16:33:00
81110070,-25.5038132404982,-49.2938690633352,4,16:34:00,30,81210070,-25.4427148131246,-49.3268133751402,NÃO,16:49:00
81210070,-25.4427148131246,-49.3268133751402,4,16:50:00,35,81460140,-25.5504730020315,-49.3064697407443,SIM,17:11:00
81460140,-25.5504730020315,-49.3064697407443,4,17:12:00,30,81150120,-25.5170223068465,-49.3040621642926,NÃO,17:19:00
81150120,-25.5170223068465,-49.3040621642926,4,17:20:00,30,81470089,-25.5687003611858,-49.3290482775162,NÃO,17:33:00
81470089,-25.5687003611858,-49.3290482775162,4,17:34:00,37,81880240,-25.5404745077498,-49.2975794776044,NÃO,17:41:00
81880240,-25.5404745077498,-49.2975794776044,4,17:42:00,30,81150330,-25.5222469145844,-49.3046045806688,SIM,17:46:00
81150330,-25.5222469145844,-49.3046045806688,4,17:47:00,30,81305650,-25.5010554166774,-49.3233459999556,NÃO,17:53:00
81305650,-25.5010554166774,-49.3233459999556,4,17:54:00,38,81920230,-25.540158846702,-49.2654606035168,NÃO,18:06:00
81920230,-25.540158846702,-49.2654606035168,4,18:07:00,30,81260350,-25.4831184667002,-49.3499515999385,SIM,18:28:00
81260350,-25.4831184667002,-49.3499515999385,4,18:29:00,38,80060170,-25.4278721677395,-49.2593020468696,NÃO,18:46:00
80060170,-25.4278721677395,-49.2593020468696,5,06:00:00,30,81590220,-25.4821304044981,-49.1983598981544,NÃO,06:17:00
81590220,-25.4821304044981,-49.1983598981544,5,06:18:00,30,82130162,-25.3808898753791,-49.2691345002354,SIM,06:44:00
82130162,-25.3808898753791,-49.2691345002354,5,06:45:00,33,82710320,-25.3550854904869,-49.2588717776273,NÃO,06:51:00
82710320,-25.3550854904869,-49.2588717776273,5,06:52:00,30,82650230,-25.3772499488416,-49.2469517894625,NÃO,06:57:00
82650230,-25.3772499488416,-49.2469517894625,5,06:58:00,30,81770140,-25.5277922333666,-49.2459991910781,SIM,07:32:00
81770140,-25.5277922333666,-49.2459991910781,5,07:33:00,30,81920735,-25.5391678846873,-49.2615212690534,NÃO,07:37:00
81920735,-25.5391678846873,-49.2615212690534,5,07:38:00,31,80610300,-25.463999400884,-49.2889687454307,NÃO,07:55:00
80610300,-25.463999400884,-49.2889687454307,5,07:56:00,33,82630494,-25.3769201560983,-49.2197021839363,SIM,08:18:00
82630494,-25.3769201560983,-49.2197021839363,5,08:19:00,30,80620340,-25.4540745011999,-49.2732563508827,NÃO,08:39:00
80620340,-25.4540745011999,-49.2732563508827,5,08:40:00,30,81940200,-25.5579957528383,-49.3005594977692,SIM,09:04:00
81940200,-25.5579957528383,-49.3005594977692,5,09:05:00,31,81130270,-25.5076616583274,-49.3009496047833,NÃO,09:15:00
81130270,-25.5076616583274,-49.3009496047833,5,09:16:00,34,82530380,-25.4300625729625,-49.2336060009616,SIM,09:36:00
82530380,-25.4300625729625,-49.2336060009616,5,09:37:00,30,82960200,-25.468586333766,-49.2107938551622,NÃO,09:47:00
82960200,-25.468586333766,-49.2107938551622,5,09:48:00,30,82220610,-25.3725747859642,-49.2682819283134,SIM,10:12:00
82220610,-25.3725747859642,-49.2682819283134,5,10:13:00,30,81900560,-25.5386532636233,-49.2709988129397,SIM,10:50:00
81900560,-25.5386532636233,-49.2709988129397,5,10:51:00,30,81230480,-25.4646281053601,-49.3394493683984,NÃO,11:12:00
81230480,-25.4646281053601,-49.3394493683984,5,11:13:00,37,82600750,-25.3958555000045,-49.2162615000035,SIM,11:37:00
82600750,-25.3958555000045,-49.2162615000035,5,11:38:00,30,81490400,-25.5959260793478,-49.3357867186009,SIM,12:28:00
81490400,-25.5959260793478,-49.3357867186009,5,12:29:00,37,80620370,-25.4578113636589,-49.2746421817496,NÃO,12:56:00
80620370,-25.4578113636589,-49.2746421817496,5,12:57:00,30,81920500,-25.5428123134011,-49.2544219342922,SIM,13:17:00
81920500,-25.5428123134011,-49.2544219342922,5,13:18:00,37,81750200,-25.5157135001734,-49.243793374824,NÃO,13:23:00
81750200,-25.5157135001734,-49.243793374824,5,13:24:00,37,81650170,-25.4968831947737,-49.2251870078443,NÃO,13:28:00
81650170,-25.4968831947737,-49.2251870078443,5,13:29:00,30,81830020,-25.5125646322447,-49.2675350633395,NÃO,13:39:00
81830020,-25.5125646322447,-49.2675350633395,5,13:40:00,36,80010160,-25.3975876007521,-49.2498549128683,SIM,14:01:00
80010160,-25.3975876007521,-49.2498549128683,5,14:02:00,32,81560480,-25.4932949091003,-49.2131369999224,NÃO,14:23:00
81560480,-25.4932949091003,-49.2131369999224,5,14:24:00,30,80010010,-25.4267759520353,-49.2679877486134,SIM,14:43:00
80010010,-25.4267759520353,-49.2679877486134,5,14:44:00,37,82520150,-25.4121197273283,-49.2373089094202,NÃO,14:49:00
82520150,-25.4121197273283,-49.2373089094202,5,14:50:00,30,81470346,-25.5796239000291,-49.33524810001,SIM,15:32:00
81470346,-25.5796239000291,-49.33524810001,5,15:33:00,30,81330220,-25.4843712333489,-49.3355483883407,NÃO,15:55:00
81330220,-25.4843712333489,-49.3355483883407,5,15:56:00,34,82210230,-25.3823373333611,-49.2634891111916,SIM,16:19:00
82210230,-25.3823373333611,-49.2634891111916,5,16:20:00,34,82920090,-25.4493406843058,-49.2065936315104,NÃO,16:37:00
82920090,-25.4493406843058,-49.2065936315104,5,16:38:00,30,81240490,-25.4789005295822,-49.3358291909315,SIM,17:05:00
81240490,-25.4789005295822,-49.3358291909315,5,17:06:00,44,81010130,-25.4764195588417,-49.273155691529,NÃO,17:14:00
81010130,-25.4764195588417,-49.273155691529,5,17:15:00,30,81110522,-25.5094403220237,-49.2915096538449,NÃO,17:24:00
81110522,-25.5094403220237,-49.2915096538449,5,17:25:00,37,82530060,-25.425394880957,-49.2359359145395,SIM,17:42:00
82530060,-25.425394880957,-49.2359359145395,5,17:43:00,30,80040153,-25.4213319028677,-49.2481648998847,NÃO,17:46:00
80040153,-25.4213319028677,-49.2481648998847,5,17:47:00,30,82130580,-25.3655056873644,-49.280654645349,NÃO,18:01:00
82130580,-25.3655056873644,-49.280654645349,5,18:02:00,30,82020770,-25.4035799002893,-49.3165390673192,NÃO,18:13:00
82020770,-25.4035799002893,-49.3165390673192,5,18:14:00,42,82960472,-25.4657194667099,-49.212058299976,SIM,18:32:00
82960472,-25.4657194667099,-49.212058299976,5,18:33:00,30,82821020,-25.4233146347775,-49.2160678044742,SIM,18:42:00
